zip,value2013,value2008,value2003,value1998,county
94109,791933.3333,720816.6667,606433.3333,353908.3333,San Francisco
94565,214566.6667,299166.6667,296358.3333,134183.3333,Contra Costa
94501,653933.3333,596175,488175,252816.6667,Alameda
94110,910675,769283.3333,545175,282708.3333,San Francisco
94558,424841.6667,511600,444741.6667,213220,Napa
94533,196533.3333,271358.3333,270666.6667,123366.6667,Solano
94536,617983.3333,571600,464450,268875,Alameda
94122,857741.6667,780466.6667,598783.3333,339725,San Francisco
94509,209008.3333,278066.6667,293241.6667,138991.6667,Contra Costa
94544,342533.3333,389616.6667,367141.6667,179783.3333,Alameda
95687,259433.3333,302808.3333,297766.6667,144225,Solano
94538,529725,485950,414150,229550,Alameda
95123,567325,547716.6667,459591.6667,275308.3333,Santa Clara
94541,336125,398233.3333,362308.3333,177591.6667,Alameda
94587,505083.3333,503883.3333,442616.6667,234225,Alameda
94080,602141.6667,595616.6667,479758.3333,269766.6667,San Mateo
95051,743808.3333,644233.3333,493250,318966.6667,Santa Clara
95014,1354466.667,1104475,757750,518033.3333,Santa Clara
94087,1148866.667,962833.3333,675066.6667,465000,Santa Clara
95125,847400,765858.3333,601216.6667,379366.6667,Santa Clara
94112,632791.6667,630108.3333,490541.6667,248766.6667,San Francisco
94806,224208.3333,309566.6667,305391.6667,130666.6667,Contra Costa
94591,255375,351433.3333,346450,163591.6667,Solano
95035,610866.6667,577891.6667,452925,277166.6667,Santa Clara
94553,389091.6667,408333.3333,391333.3333,195675,Contra Costa
94015,616141.6667,625491.6667,489891.6667,268250,San Mateo
94513,380508.3333,431108.3333,399300,238816.6667,Contra Costa
95112,473550,507983.3333,409791.6667,222600,Santa Clara
95008,786558.3333,702141.6667,524966.6667,339350,Santa Clara
94086,852058.3333,727500,561016.6667,368991.6667,Santa Clara
94568,561583.3333,534025,449300,236408.3333,Alameda
94117,1104091.667,982975,834125,397066.6667,San Francisco
94121,936641.6667,861250,672816.6667,386091.6667,San Francisco
94611,855791.6667,811183.3333,687383.3333,375858.3333,Alameda
94577,373266.6667,422633.3333,380291.6667,183458.3333,Alameda
94118,1401916.667,1197858.333,859366.6667,500366.6667,San Francisco
94546,515166.6667,499325,430008.3333,228333.3333,Alameda
95020,490850,576475,460708.3333,278816.6667,Santa Clara
94550,571266.6667,545658.3333,454400,260950,Alameda
95403,356700,400866.6667,383008.3333,193791.6667,Sonoma
94114,1333541.667,1108141.667,835241.6667,477966.6667,San Francisco
94010,1814283.333,1442508.333,1053425,670933.3333,San Mateo
95124,796325,702525,519308.3333,330800,Santa Clara
94590,160658.3333,265116.6667,273891.6667,107183.3333,Solano
94403,860441.6667,752783.3333,589541.6667,371383.3333,San Mateo
94102,603883.3333,585558.3333,427566.6667,250433.3333,San Francisco
94539,1063225,876500,682475,422291.6667,Alameda
94066,647808.3333,623758.3333,494816.6667,287808.3333,San Mateo
95404,463641.6667,482608.3333,452983.3333,233225,Sonoma
94566,873758.3333,768650,610216.6667,377416.6667,Alameda
94610,768808.3333,709258.3333,625791.6667,293916.6667,Alameda
94605,321433.3333,384525,346950,158150,Alameda
94928,332366.6667,363666.6667,366941.6667,178675,Sonoma
94521,429625,444808.3333,407166.6667,209100,Contra Costa
94601,246916.6667,345625,290800,123441.6667,Alameda
95127,443158.3333,501058.3333,417875,227975,Santa Clara
94025,1448791.667,1167108.333,843183.3333,558541.6667,San Mateo
95136,594325,591291.6667,495283.3333,293716.6667,Santa Clara
94901,783758.3333,810450,715250,395650,Marin
95476,504941.6667,531441.6667,472233.3333,234408.3333,Sonoma
94606,339800,394041.6667,318433.3333,131550,Alameda
95111,437258.3333,485458.3333,414508.3333,224225,Santa Clara
94116,818041.6667,769466.6667,573491.6667,330066.6667,San Francisco
95037,665558.3333,712308.3333,577408.3333,362041.6667,Santa Clara
95050,665941.6667,612483.3333,473875,305741.6667,Santa Clara
94804,217316.6667,295041.6667,299091.6667,126383.3333,Contra Costa
94107,830708.3333,738625,539366.6667,338883.3333,San Francisco
94044,637850,623866.6667,483325,276025,San Mateo
94404,921841.6667,807216.6667,631441.6667,401683.3333,San Mateo
94523,527525,515891.6667,465833.3333,229325,Contra Costa
94578,357658.3333,395783.3333,364308.3333,176083.3333,Alameda
94123,1752050,1617675,1411866.667,692933.3333,San Francisco
94551,467591.6667,464458.3333,398175,217875,Alameda
94040,1344991.667,1016258.333,717100,491550,Santa Clara
94303,1203358.333,924566.6667,672008.3333,422758.3333,Santa Clara
95126,591108.3333,572591.6667,453641.6667,269300,Santa Clara
95129,1086391.667,899175,640833.3333,431700,Santa Clara
94583,695466.6667,633125,545883.3333,306350,Contra Costa
94608,387433.3333,395416.6667,328266.6667,145791.6667,Alameda
94582,881983.3333,768166.6667,688525,411450,Contra Costa
95128,658891.6667,603450,475350,295916.6667,Santa Clara
94560,468141.6667,486675,427241.6667,232400,Alameda
